iter	Passed	Remaining
0	148	147871
1	148	74272
2	149	49802
3	150	37490
4	151	30097
5	152	25189
6	152	21701
7	153	19086
8	155	17119
9	156	15475
10	157	14118
11	157	13005
12	158	12049
13	159	11230
14	160	10533
15	160	9897
16	161	9339
17	162	8844
18	162	8397
19	163	7997
20	163	7636
21	164	7309
22	165	7009
23	165	6734
24	166	6493
25	167	6257
26	167	6036
27	167	5829
28	168	5638
29	168	5460
30	169	5297
31	170	5143
32	170	4998
33	171	4864
34	171	4738
35	172	4617
36	173	4506
37	173	4399
38	174	4296
39	174	4197
40	175	4101
41	176	4016
42	176	3934
43	177	3855
44	178	3781
45	179	3713
46	179	3639
47	179	3569
48	180	3505
49	181	3444
50	182	3390
51	182	3334
52	183	3279
53	184	3228
54	185	3179
55	185	3130
56	186	3081
57	186	3033
58	187	2986
59	187	2941
60	188	2908
61	189	2868
62	190	2829
63	191	2795
64	191	2757
65	192	2719
66	192	2682
67	193	2646
68	193	2612
69	194	2579
70	194	2548
71	195	2517
72	195	2487
73	196	2457
74	197	2429
75	197	2401
76	198	2373
77	198	2345
78	199	2320
79	199	2296
80	200	2271
81	200	2248
82	201	2222
83	201	2201
84	202	2180
85	203	2161
86	203	2139
87	204	2117
88	204	2096
89	205	2076
90	205	2057
91	206	2039
92	207	2021
93	207	2004
94	208	1987
95	209	1972
96	210	1954
97	210	1937
98	210	1919
99	211	1903
100	211	1886
101	212	1870
102	213	1855
103	213	1840
104	214	1826
105	214	1811
106	215	1797
107	215	1783
108	216	1769
109	216	1755
110	217	1742
111	218	1728
112	218	1715
113	219	1703
114	219	1690
115	220	1678
116	220	1665
117	221	1653
118	221	1641
119	222	1631
120	223	1620
121	223	1607
122	223	1596
123	224	1585
124	224	1574
125	225	1565
126	226	1555
127	226	1545
128	227	1537
129	228	1528
130	228	1518
131	229	1510
132	230	1501
133	230	1492
134	231	1483
135	232	1475
136	232	1467
137	233	1459
138	234	1451
139	235	1444
140	235	1436
141	236	1426
142	236	1418
143	237	1411
144	238	1403
145	238	1396
146	239	1388
147	240	1381
148	240	1374
149	241	1369
150	242	1362
151	242	1355
152	243	1347
153	244	1340
154	244	1334
155	245	1328
156	246	1321
157	246	1315
158	247	1309
159	248	1303
160	248	1295
161	249	1291
162	250	1284
163	250	1277
164	251	1271
165	251	1264
166	252	1257
167	252	1251
168	253	1245
169	253	1239
170	254	1233
171	255	1227
172	255	1222
173	256	1216
174	256	1211
175	257	1206
176	258	1200
177	258	1195
178	259	1190
179	260	1186
180	260	1180
181	261	1174
182	261	1169
183	262	1163
184	262	1157
185	263	1152
186	264	1148
187	264	1143
188	265	1138
189	265	1133
190	266	1128
191	267	1123
192	267	1118
193	268	1113
194	268	1108
195	269	1103
196	269	1098
197	270	1094
198	270	1089
199	271	1084
200	271	1079
201	272	1075
202	272	1071
203	273	1067
204	274	1062
205	274	1058
206	275	1054
207	275	1050
208	276	1045
209	276	1041
210	277	1037
211	278	1033
212	278	1029
213	279	1025
214	279	1021
215	280	1018
216	281	1014
217	281	1010
218	282	1006
219	282	1003
220	283	999
221	283	995
222	284	991
223	285	988
224	285	985
